Date	Time	Voltage L1N Min	Voltage L1N Avg	Voltage L1N Max	Voltage NG Min	Voltage NG Avg	Voltage NG Max	Peak Voltage L1N Min	Peak Voltage L1N Avg	Peak Voltage L1N Max	Peak Voltage NG Min	Peak Voltage NG Avg	Peak Voltage NG Max	Voltage Crest Factor L1N Min	Voltage Crest Factor L1N Avg	Voltage Crest Factor L1N Max	Voltage Crest Factor NG Min	Voltage Crest Factor NG Avg	Voltage Crest Factor NG Max	Current L1 Min	Current L1 Avg	Current L1 Max	Current N Min	Current N Avg	Current N Max	Peak Current L1 Min	Peak Current L1 Avg	Peak Current L1 Max	Peak Current N Min	Peak Current N Avg	Peak Current N Max	Current Crest Factor L1 Min	Current Crest Factor L1 Avg	Current Crest Factor L1 Max	Current Crest Factor N Min	Current Crest Factor N Avg	Current Crest Factor N Max	Frequency Min	Frequency Avg	Frequency Max	
18/07/2018	19:09:39.094	3.460	3.460	3.460	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	1.760	1.800	1.820	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.998	59.998	59.999	
18/07/2018	19:09:40.094	3.460	3.460	3.460	.010	.010	.010	6.200	6.200	6.300	.000	.000	.000	1.780	1.800	1.830	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.999	59.999	59.999	
18/07/2018	19:09:41.094	3.460	3.480	3.520	.010	.010	.010	6.200	6.300	6.300	.000	.000	.000	1.790	1.800	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.999	60.000	60.000	
18/07/2018	19:09:42.094	3.510	3.510	3.520	.010	.010	.010	6.200	6.200	6.300	.000	.000	.000	1.770	1.780	1.790	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.000	60.000	60.000	
18/07/2018	19:09:43.094	3.520	3.520	3.530	.010	.010	.010	6.200	6.200	6.300	.000	.000	.000	1.760	1.770	1.790	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.001	60.001	60.001	
18/07/2018	19:09:44.094	3.530	3.530	3.530	.010	.010	.010	6.200	6.200	6.300	.000	.000	.000	1.760	1.770	1.780	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.001	60.001	60.001	
18/07/2018	19:09:45.094	3.530	3.620	3.790	.010	.010	.010	6.200	6.300	6.600	.000	.000	.000	1.730	1.750	1.770	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.001	60.001	60.001	
18/07/2018	19:09:46.094	3.780	3.790	3.790	.010	.010	.010	6.500	6.600	6.700	.000	.000	.000	1.720	1.730	1.750	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.001	60.001	60.001	
18/07/2018	19:09:47.094	3.760	3.850	3.980	.010	.010	.010	6.500	6.600	6.800	.000	.000	.000	1.700	1.720	1.740	327.670	327.670	327.670	.020	.020	.020	.150	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.001	60.002	60.002	
18/07/2018	19:09:48.094	3.980	3.990	4.000	.010	.010	.010	6.800	6.800	6.800	.000	.000	.000	1.690	1.700	1.710	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.002	60.002	60.002	
18/07/2018	19:09:49.094	4.000	4.060	4.140	.010	.010	.010	6.800	6.900	7.100	.000	.000	.000	1.690	1.700	1.710	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.002	60.002	60.002	
18/07/2018	19:09:50.094	4.070	4.120	4.150	.010	.010	.010	7.000	7.100	7.100	.000	.000	.000	1.700	1.720	1.730	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.002	60.002	60.002	
18/07/2018	19:09:51.094	4.090	4.270	4.370	.010	.010	.010	7.100	7.400	7.600	.000	.000	.000	1.730	1.730	1.740	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.200	327.670	327.670	327.670	327.670	327.670	327.670	60.002	60.002	60.002	
18/07/2018	19:09:52.094	4.250	4.300	4.390	.010	.010	.010	7.300	7.500	7.600	.000	.000	.000	1.710	1.730	1.780	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.002	60.002	60.003	
18/07/2018	19:09:53.094	4.220	4.250	4.260	.010	.010	.010	7.300	7.300	7.400	.000	.000	.000	1.720	1.720	1.740	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.003	60.003	60.003	
18/07/2018	19:09:54.094	4.060	4.200	4.250	.010	.010	.010	7.000	7.300	7.500	.000	.000	.000	1.720	1.740	1.770	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.003	60.003	60.003	
18/07/2018	19:09:55.094	4.210	4.240	4.270	.010	.010	.010	7.300	7.400	7.600	.000	.000	.000	1.730	1.750	1.790	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.003	60.004	60.004	
18/07/2018	19:09:56.094	4.170	4.250	4.430	.010	.010	.010	5.900	7.000	7.300	.000	.000	.000	1.340	1.650	1.740	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.004	60.004	60.004	
18/07/2018	19:09:57.094	4.440	4.440	4.440	.010	.010	.010	5.900	5.900	5.900	.000	.000	.000	1.340	1.340	1.340	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.998	59.998	59.998	
18/07/2018	19:09:58.094	4.440	4.440	4.440	.010	.010	.010	5.900	5.900	5.900	.000	.000	.000	1.340	1.340	1.340	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.998	59.998	59.998	
18/07/2018	19:09:59.094	4.430	4.440	4.450	.010	.010	.010	5.900	5.900	5.900	.000	.000	.000	1.340	1.340	1.340	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.998	59.998	59.998	
18/07/2018	19:10:00.094	4.430	4.440	4.440	.010	.010	.010	5.900	5.900	5.900	.000	.000	.000	1.340	1.340	1.340	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.200	327.670	327.670	327.670	327.670	327.670	327.670	59.998	59.999	59.999	
18/07/2018	19:10:01.094	4.430	4.450	4.490	.010	.010	.010	5.900	6.000	6.000	.000	.000	.000	1.330	1.340	1.340	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.999	59.999	60.000	
18/07/2018	19:10:02.094	4.480	4.490	4.500	.010	.010	.010	6.000	6.000	6.100	.000	.000	.000	1.340	1.340	1.340	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.000	60.000	60.000	
18/07/2018	19:10:03.094	4.480	4.790	5.270	.010	.010	.010	6.000	6.500	7.600	.000	.000	.000	1.340	1.370	1.470	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.000	60.000	60.000	
18/07/2018	19:10:04.094	5.130	5.200	5.260	.010	.010	.010	6.900	7.000	7.100	.000	.000	.000	1.350	1.350	1.360	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.000	60.000	60.001	
18/07/2018	19:10:05.094	5.060	5.480	6.090	.010	.010	.010	6.800	7.500	8.400	.000	.000	.000	1.350	1.380	1.430	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.000	60.001	60.001	
18/07/2018	19:10:06.094	6.060	6.080	6.090	.010	.010	.010	8.300	8.400	8.400	.000	.000	.000	1.380	1.380	1.380	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.080	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.001	60.001	60.001	
18/07/2018	19:10:07.094	6.050	6.140	6.280	.010	.010	.010	8.300	8.500	8.700	.000	.000	.000	1.380	1.380	1.400	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	60.007	60.007	60.008	
